FieldID	Field	action
26635	Volume of CA4-body (left hemisphere)	added
26636	Volume of fimbria (left hemisphere)	added
26637	Volume of CA3-head (left hemisphere)	added
26638	Volume of HATA (left hemisphere)	added
26639	Volume of Whole-hippocampal-body (left hemisphere)	added
26640	Volume of Whole-hippocampal-head (left hemisphere)	added
26641	Volume of Whole-hippocampus (left hemisphere)	added
26642	Volume of Hippocampal-tail (right hemisphere)	added
26643	Volume of subiculum-body (right hemisphere)	added
26644	Volume of CA1-body (right hemisphere)	added
26645	Volume of subiculum-head (right hemisphere)	added
26646	Volume of hippocampal-fissure (right hemisphere)	added
26647	Volume of presubiculum-head (right hemisphere)	added
26648	Volume of CA1-head (right hemisphere)	added
26649	Volume of presubiculum-body (right hemisphere)	added
26650	Volume of parasubiculum (right hemisphere)	added
26651	Volume of molecular-layer-HP-head (right hemisphere)	added
26652	Volume of molecular-layer-HP-body (right hemisphere)	added
26653	Volume of GC-ML-DG-head (right hemisphere)	added
26654	Volume of CA3-body (right hemisphere)	added
26655	Volume of GC-ML-DG-body (right hemisphere)	added
26656	Volume of CA4-head (right hemisphere)	added
26657	Volume of CA4-body (right hemisphere)	added
26658	Volume of fimbria (right hemisphere)	added
26659	Volume of CA3-head (right hemisphere)	added
26660	Volume of HATA (right hemisphere)	added
26661	Volume of Whole-hippocampal-body (right hemisphere)	added
26662	Volume of Whole-hippocampal-head (right hemisphere)	added
26663	Volume of Whole-hippocampus (right hemisphere)	added
26664	Volume of MGN (left hemisphere)	added
26665	Volume of LGN (left hemisphere)	added
26666	Volume of PuI (left hemisphere)	added
26667	Volume of PuM (left hemisphere)	added
26668	Volume of L-Sg (left hemisphere)	added
26669	Volume of VPL (left hemisphere)	added
26670	Volume of CM (left hemisphere)	added
26671	Volume of VLa (left hemisphere)	added
26672	Volume of PuA (left hemisphere)	added
26673	Volume of MDm (left hemisphere)	added
26674	Volume of Pf (left hemisphere)	added
26675	Volume of VAmc (left hemisphere)	added
26676	Volume of MDl (left hemisphere)	added
26677	Volume of CeM (left hemisphere)	added
26678	Volume of VA (left hemisphere)	added
26679	Volume of MV(Re) (left hemisphere)	added
26680	Volume of VM (left hemisphere)	added
26681	Volume of CL (left hemisphere)	added
26682	Volume of PuL (left hemisphere)	added
26683	Volume of Pt (left hemisphere)	added
26684	Volume of AV (left hemisphere)	added
26685	Volume of Pc (left hemisphere)	added
26686	Volume of VLp (left hemisphere)	added
26687	Volume of LP (left hemisphere)	added
26688	Volume of LGN (right hemisphere)	added
26689	Volume of MGN (right hemisphere)	added
26690	Volume of PuI (right hemisphere)	added
26691	Volume of PuM (right hemisphere)	added
26692	Volume of L-Sg (right hemisphere)	added
26693	Volume of VPL (right hemisphere)	added
26694	Volume of CM (right hemisphere)	added
26695	Volume of VLa (right hemisphere)	added
26696	Volume of PuA (right hemisphere)	added
26697	Volume of MDm (right hemisphere)	added
26698	Volume of Pf (right hemisphere)	added
26699	Volume of VAmc (right hemisphere)	added
26700	Volume of MDl (right hemisphere)	added
26701	Volume of VA (right hemisphere)	added
26702	Volume of MV(Re) (right hemisphere)	added
26703	Volume of CeM (right hemisphere)	added
26704	Volume of VM (right hemisphere)	added
26705	Volume of PuL (right hemisphere)	added
26706	Volume of CL (right hemisphere)	added
26707	Volume of VLp (right hemisphere)	added
26708	Volume of Pc (right hemisphere)	added
26709	Volume of Pt (right hemisphere)	added
26710	Volume of AV (right hemisphere)	added
26711	Volume of LP (right hemisphere)	added
26712	Volume of LD (left hemisphere)	added
26713	Volume of LD (right hemisphere)	added
26714	Volume of Whole-thalamus (left hemisphere)	added
26715	Volume of Whole-thalamus (right hemisphere)	added
26716	Volume of Medulla (whole brain)	added
26717	Volume of Pons (whole brain)	added
26718	Volume of SCP (whole brain)	added
26719	Volume of Midbrain (whole brain)	added
26720	Volume of Whole-brainstem (whole brain)	added
26721	Area of TotalSurface (left hemisphere)	added
26722	Area of bankssts (left hemisphere)	added
26723	Area of caudalanteriorcingulate (left hemisphere)	added
26724	Area of caudalmiddlefrontal (left hemisphere)	added
26725	Area of cuneus (left hemisphere)	added
26726	Area of entorhinal (left hemisphere)	added
26727	Area of fusiform (left hemisphere)	added
26728	Area of inferiorparietal (left hemisphere)	added
26729	Area of inferiortemporal (left hemisphere)	added
26730	Area of isthmuscingulate (left hemisphere)	added
26731	Area of lateraloccipital (left hemisphere)	added
26732	Area of lateralorbitofrontal (left hemisphere)	added
26733	Area of lingual (left hemisphere)	added
26734	Area of medialorbitofrontal (left hemisphere)	added
26735	Area of middletemporal (left hemisphere)	added
26736	Area of parahippocampal (left hemisphere)	added
26737	Area of paracentral (left hemisphere)	added
26738	Area of parsopercularis (left hemisphere)	added
26739	Area of parsorbitalis (left hemisphere)	added
26740	Area of parstriangularis (left hemisphere)	added
26741	Area of pericalcarine (left hemisphere)	added
26742	Area of postcentral (left hemisphere)	added
26743	Area of posteriorcingulate (left hemisphere)	added
26744	Area of precentral (left hemisphere)	added
26745	Area of precuneus (left hemisphere)	added
26746	Area of rostralanteriorcingulate (left hemisphere)	added
26747	Area of rostralmiddlefrontal (left hemisphere)	added
26748	Area of superiorfrontal (left hemisphere)	added
26749	Area of superiorparietal (left hemisphere)	added
26750	Area of superiortemporal (left hemisphere)	added
26751	Area of supramarginal (left hemisphere)	added
26752	Area of frontalpole (left hemisphere)	added
26753	Area of transversetemporal (left hemisphere)	added
26754	Area of insula (left hemisphere)	added
26755	Mean thickness of GlobalMeanMean thickness (left hemisphere)	added
26756	Mean thickness of bankssts (left hemisphere)	added
26757	Mean thickness of caudalanteriorcingulate (left hemisphere)	added
26758	Mean thickness of caudalmiddlefrontal (left hemisphere)	added
26759	Mean thickness of cuneus (left hemisphere)	added
26760	Mean thickness of entorhinal (left hemisphere)	added
26761	Mean thickness of fusiform (left hemisphere)	added
26762	Mean thickness of inferiorparietal (left hemisphere)	added
26763	Mean thickness of inferiortemporal (left hemisphere)	added
26764	Mean thickness of isthmuscingulate (left hemisphere)	added
26765	Mean thickness of lateraloccipital (left hemisphere)	added
26766	Mean thickness of lateralorbitofrontal (left hemisphere)	added
26767	Mean thickness of lingual (left hemisphere)	added
26768	Mean thickness of medialorbitofrontal (left hemisphere)	added
26769	Mean thickness of middletemporal (left hemisphere)	added
26770	Mean thickness of parahippocampal (left hemisphere)	added
26771	Mean thickness of paracentral (left hemisphere)	added
26772	Mean thickness of parsopercularis (left hemisphere)	added
26773	Mean thickness of parsorbitalis (left hemisphere)	added
26774	Mean thickness of parstriangularis (left hemisphere)	added
26775	Mean thickness of pericalcarine (left hemisphere)	added
26776	Mean thickness of postcentral (left hemisphere)	added
26777	Mean thickness of posteriorcingulate (left hemisphere)	added
26778	Mean thickness of precentral (left hemisphere)	added
26779	Mean thickness of precuneus (left hemisphere)	added
26780	Mean thickness of rostralanteriorcingulate (left hemisphere)	added
26781	Mean thickness of rostralmiddlefrontal (left hemisphere)	added
26782	Mean thickness of superiorfrontal (left hemisphere)	added
26783	Mean thickness of superiorparietal (left hemisphere)	added
26784	Mean thickness of superiortemporal (left hemisphere)	added
26785	Mean thickness of supramarginal (left hemisphere)	added
26786	Mean thickness of frontalpole (left hemisphere)	added
26787	Mean thickness of transversetemporal (left hemisphere)	added
26788	Mean thickness of insula (left hemisphere)	added
26789	Volume of bankssts (left hemisphere)	added
26790	Volume of caudalanteriorcingulate (left hemisphere)	added
26791	Volume of caudalmiddlefrontal (left hemisphere)	added
26792	Volume of cuneus (left hemisphere)	added
26793	Volume of entorhinal (left hemisphere)	added
26794	Volume of fusiform (left hemisphere)	added
26795	Volume of inferiorparietal (left hemisphere)	added
26796	Volume of inferiortemporal (left hemisphere)	added
26797	Volume of isthmuscingulate (left hemisphere)	added
26798	Volume of lateraloccipital (left hemisphere)	added
26799	Volume of lateralorbitofrontal (left hemisphere)	added
26800	Volume of lingual (left hemisphere)	added
26801	Volume of medialorbitofrontal (left hemisphere)	added
26802	Volume of middletemporal (left hemisphere)	added
26803	Volume of parahippocampal (left hemisphere)	added
26804	Volume of paracentral (left hemisphere)	added
26805	Volume of parsopercularis (left hemisphere)	added
26806	Volume of parsorbitalis (left hemisphere)	added
26807	Volume of parstriangularis (left hemisphere)	added
26808	Volume of pericalcarine (left hemisphere)	added
26809	Volume of postcentral (left hemisphere)	added
26810	Volume of posteriorcingulate (left hemisphere)	added
26811	Volume of precentral (left hemisphere)	added
26812	Volume of precuneus (left hemisphere)	added
26813	Volume of rostralanteriorcingulate (left hemisphere)	added
26814	Volume of rostralmiddlefrontal (left hemisphere)	added
26815	Volume of superiorfrontal (left hemisphere)	added
26816	Volume of superiorparietal (left hemisphere)	added
26817	Volume of superiortemporal (left hemisphere)	added
26818	Volume of supramarginal (left hemisphere)	added
26819	Volume of frontalpole (left hemisphere)	added
26820	Volume of transversetemporal (left hemisphere)	added
26821	Volume of insula (left hemisphere)	added
26822	Area of TotalSurface (right hemisphere)	added
26823	Area of bankssts (right hemisphere)	added
26824	Area of caudalanteriorcingulate (right hemisphere)	added
26825	Area of caudalmiddlefrontal (right hemisphere)	added
26826	Area of cuneus (right hemisphere)	added
26827	Area of entorhinal (right hemisphere)	added
26828	Area of fusiform (right hemisphere)	added
26829	Area of inferiorparietal (right hemisphere)	added
26830	Area of inferiortemporal (right hemisphere)	added
26831	Area of isthmuscingulate (right hemisphere)	added
26832	Area of lateraloccipital (right hemisphere)	added
26833	Area of lateralorbitofrontal (right hemisphere)	added
26834	Area of lingual (right hemisphere)	added
26835	Area of medialorbitofrontal (right hemisphere)	added
26836	Area of middletemporal (right hemisphere)	added
26837	Area of parahippocampal (right hemisphere)	added
26838	Area of paracentral (right hemisphere)	added
26839	Area of parsopercularis (right hemisphere)	added
26840	Area of parsorbitalis (right hemisphere)	added
26841	Area of parstriangularis (right hemisphere)	added
26842	Area of pericalcarine (right hemisphere)	added
26843	Area of postcentral (right hemisphere)	added
26844	Area of posteriorcingulate (right hemisphere)	added
26845	Area of precentral (right hemisphere)	added
26846	Area of precuneus (right hemisphere)	added
26847	Area of rostralanteriorcingulate (right hemisphere)	added
26848	Area of rostralmiddlefrontal (right hemisphere)	added
26849	Area of superiorfrontal (right hemisphere)	added
26850	Area of superiorparietal (right hemisphere)	added
26851	Area of superiortemporal (right hemisphere)	added
26852	Area of supramarginal (right hemisphere)	added
26853	Area of frontalpole (right hemisphere)	added
26854	Area of transversetemporal (right hemisphere)	added
26855	Area of insula (right hemisphere)	added
26856	Mean thickness of GlobalMeanMean thickness (right hemisphere)	added
26857	Mean thickness of bankssts (right hemisphere)	added
26858	Mean thickness of caudalanteriorcingulate (right hemisphere)	added
26859	Mean thickness of caudalmiddlefrontal (right hemisphere)	added
26860	Mean thickness of cuneus (right hemisphere)	added
26861	Mean thickness of entorhinal (right hemisphere)	added
26862	Mean thickness of fusiform (right hemisphere)	added
26863	Mean thickness of inferiorparietal (right hemisphere)	added
26864	Mean thickness of inferiortemporal (right hemisphere)	added
26865	Mean thickness of isthmuscingulate (right hemisphere)	added
26866	Mean thickness of lateraloccipital (right hemisphere)	added
26867	Mean thickness of lateralorbitofrontal (right hemisphere)	added
26868	Mean thickness of lingual (right hemisphere)	added
26869	Mean thickness of medialorbitofrontal (right hemisphere)	added
26870	Mean thickness of middletemporal (right hemisphere)	added
26871	Mean thickness of parahippocampal (right hemisphere)	added
26872	Mean thickness of paracentral (right hemisphere)	added
26873	Mean thickness of parsopercularis (right hemisphere)	added
26874	Mean thickness of parsorbitalis (right hemisphere)	added
26875	Mean thickness of parstriangularis (right hemisphere)	added
26876	Mean thickness of pericalcarine (right hemisphere)	added
26877	Mean thickness of postcentral (right hemisphere)	added
26878	Mean thickness of posteriorcingulate (right hemisphere)	added
26879	Mean thickness of precentral (right hemisphere)	added
26880	Mean thickness of precuneus (right hemisphere)	added
26881	Mean thickness of rostralanteriorcingulate (right hemisphere)	added
26882	Mean thickness of rostralmiddlefrontal (right hemisphere)	added
26883	Mean thickness of superiorfrontal (right hemisphere)	added
26884	Mean thickness of superiorparietal (right hemisphere)	added
26885	Mean thickness of superiortemporal (right hemisphere)	added
26886	Mean thickness of supramarginal (right hemisphere)	added
26887	Mean thickness of frontalpole (right hemisphere)	added
26888	Mean thickness of transversetemporal (right hemisphere)	added
26889	Mean thickness of insula (right hemisphere)	added
26890	Volume of bankssts (right hemisphere)	added
26891	Volume of caudalanteriorcingulate (right hemisphere)	added
26892	Volume of caudalmiddlefrontal (right hemisphere)	added
26893	Volume of cuneus (right hemisphere)	added
26894	Volume of entorhinal (right hemisphere)	added
26895	Volume of fusiform (right hemisphere)	added
26896	Volume of inferiorparietal (right hemisphere)	added
26897	Volume of inferiortemporal (right hemisphere)	added
26898	Volume of isthmuscingulate (right hemisphere)	added
26899	Volume of lateraloccipital (right hemisphere)	added
26900	Volume of lateralorbitofrontal (right hemisphere)	added
26901	Volume of lingual (right hemisphere)	added
26902	Volume of medialorbitofrontal (right hemisphere)	added
26903	Volume of middletemporal (right hemisphere)	added
26904	Volume of parahippocampal (right hemisphere)	added
26905	Volume of paracentral (right hemisphere)	added
26906	Volume of parsopercularis (right hemisphere)	added
26907	Volume of parsorbitalis (right hemisphere)	added
26908	Volume of parstriangularis (right hemisphere)	added
26909	Volume of pericalcarine (right hemisphere)	added
26910	Volume of postcentral (right hemisphere)	added
26911	Volume of posteriorcingulate (right hemisphere)	added
26912	Volume of precentral (right hemisphere)	added
26913	Volume of precuneus (right hemisphere)	added
26914	Volume of rostralanteriorcingulate (right hemisphere)	added
26915	Volume of rostralmiddlefrontal (right hemisphere)	added
26916	Volume of superiorfrontal (right hemisphere)	added
26917	Volume of superiorparietal (right hemisphere)	added
26918	Volume of superiortemporal (right hemisphere)	added
26919	Volume of supramarginal (right hemisphere)	added
26920	Volume of frontalpole (right hemisphere)	added
26921	Volume of transversetemporal (right hemisphere)	added
26922	Volume of insula (right hemisphere)	added
26923	Area of TotalSurface (left hemisphere)	added
26924	Area of bankssts (left hemisphere)	added
26925	Area of caudalanteriorcingulate (left hemisphere)	added
26926	Area of caudalmiddlefrontal (left hemisphere)	added
26927	Area of cuneus (left hemisphere)	added
26928	Area of entorhinal (left hemisphere)	added
26929	Area of fusiform (left hemisphere)	added
26930	Area of inferiorparietal (left hemisphere)	added
26931	Area of inferiortemporal (left hemisphere)	added
26932	Area of isthmuscingulate (left hemisphere)	added
26933	Area of lateraloccipital (left hemisphere)	added
26934	Area of lateralorbitofrontal (left hemisphere)	added
26935	Area of lingual (left hemisphere)	added
