Path,Category,FieldID,Field,Participants,Items,Stability,ValueType,Units,ItemType,Strata,Sexed,Instances,Array,Coding,Notes,Link
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,49,Hip circumference,500346,569767,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Hip circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,50,Standing height,500043,569401,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,Standing height was measured using a Seca 202 device,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50
UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,51,Seated height,497178,565500,Complete,Continuous,cm,Data,Primary,Unisex,4,1,,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51
Population characteristics > Baseline characteristics,100094,52,Month of birth,502506,502506,Complete,Categorical single,"",Data,Primary,Unisex,1,1,8,"Calendar month of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52
UK Biobank Assessment Centre > Recruitment > Reception,100024,53,Date of attending assessment centre,502506,573525,Complete,Date,"",Data,Primary,Unisex,4,1,,Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53
UK Biobank Assessment Centre > Recruitment > Reception,100024,54,UK Biobank assessment centre,502506,573520,Complete,Categorical single,"",Data,Primary,Unisex,4,1,10,The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54
UK Biobank Assessment Centre > Recruitment > Reception,100024,55,Month of attending assessment centre,502506,573525,Complete,Categorical single,"",Data,Primary,Unisex,4,1,8,Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=55
UK Biobank Assessment Centre > Procedural metrics,100004,62,Willing to attempt cognitive tests,498377,529807,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100641,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=62
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,68,Number of blood samples taken,501327,571519,Complete,Integer,"",Data,Primary,Unisex,4,1,,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=68
UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,74,Fasting time,501311,571495,Complete,Integer,hours,Data,Primary,Unisex,4,1,,Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=74
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,77,"Heel bone ultrasound T-score, manual entry",42731,42731,Complete,Continuous,Std.Devs,Data,Primary,Unisex,1,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77
UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,78,"Heel bone mineral density (BMD) T-score, automated",279094,279094,Complete,Continuous,Std.Devs,Data,Primary,Unisex,1,1,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,84,Cancer year/age first occurred,45525,53149,Complete,Integer,"",Data,Primary,Unisex,4,6,37,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,87,Non-cancer illness year/age first occurred,385697,1121528,Complete,Integer,"",Data,Primary,Unisex,4,34,37,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87
UK Biobank Assessment Centre > Verbal interview > Operations,100076,92,Operation year/age first occurred,398516,991168,Complete,Integer,"",Data,Primary,Unisex,4,32,37,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,93,"Systolic blood pressure, manual reading",48794,80973,Complete,Integer,mmHg,Data,Primary,Unisex,4,2,,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,94,"Diastolic blood pressure, manual reading",48794,80973,Complete,Integer,mmHg,Data,Primary,Unisex,4,2,,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,95,Pulse rate (during blood-pressure measurement),48794,80973,Complete,Integer,"",Data,Primary,Unisex,4,2,,Pulse measured during automated blood-pressure reading,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,96,Time since interview start at which blood pressure screen(s) shown,501656,1132684,Complete,Integer,seconds,Data,Auxiliary,Unisex,4,2,,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96
UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,102,"Pulse rate, automated reading",475129,1050361,Complete,Integer,bpm,Data,Primary,Unisex,4,2,,This is the pulse rate measured during the automated blood pressure readings.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102
UK Biobank Assessment Centre > Procedural metrics,100004,111,Aide-memoire completed,501648,521979,Complete,Categorical single,"",Data,Primary,Unisex,2,1,7,Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=111
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,120,Birth weight known,501648,533687,Complete,Categorical single,"",Data,Primary,Unisex,3,1,100258,Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,129,Place of birth in UK - north co-ordinate,452292,481102,Complete,Integer,metre-grid,Data,Primary,Unisex,3,1,170,Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129
UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,130,Place of birth in UK - east co-ordinate,452292,481102,Complete,Integer,metre-grid,Data,Primary,Unisex,3,1,170,Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130
UK Biobank Assessment Centre > Verbal interview > Employment,100073,132,Job code at visit - entered,343134,391639,Complete,Categorical single,"",Data,Primary,Unisex,4,1,2,This information is regarded as restricted and will be supplied to researchers only when absolutely necessary.    Please use data field 20277 which is the unrestricted version of this data field.    See also the Related Data-Fields tab below for other unrestricted alternatives.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=132
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,134,Number of self-reported cancers,501656,566685,Complete,Integer,"",Data,Primary,Unisex,4,1,,Number of cancers entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134
UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,135,Number of self-reported non-cancer illnesses,501656,566685,Complete,Integer,"",Data,Primary,Unisex,4,1,,Number of non-cancer illnesses entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135
UK Biobank Assessment Centre > Verbal interview > Operations,100076,136,"Number of operations, self-reported",501656,566685,Complete,Integer,"",Data,Primary,Unisex,4,1,,Number of operations entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136
UK Biobank Assessment Centre > Verbal interview > Medications,100075,137,Number of treatments/medications taken,501656,566685,Complete,Integer,"",Data,Primary,Unisex,4,1,,Number of treatments (medications) entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137
Population characteristics > Baseline characteristics,100094,189,Townsend deprivation index at recruitment,501883,501883,Complete,Continuous,"",Data,Derived,Unisex,1,1,,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189
Population characteristics > Ongoing characteristics,2,190,Reason lost to follow-up,1298,1298,Ongoing,Categorical single,"",Data,Primary,Unisex,1,1,1965,Indicates the reason that a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190
Population characteristics > Ongoing characteristics,2,191,Date lost to follow-up,1298,1298,Ongoing,Date,"",Data,Primary,Unisex,1,1,,Indicates the date from which a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191
UK Biobank Assessment Centre > Recruitment > Consent,100023,200,Date of consenting to join UK Biobank,502504,502504,Complete,Date,"",Data,Primary,Unisex,1,1,,Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=200
UK Biobank Assessment Centre > Recruitment > Consent,100023,393,Program (tactus) version ID (compiler timestamp),502504,502504,Complete,Categorical single,"",Data,Auxiliary,Unisex,1,1,1200,This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=393
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,396,Number of columns displayed in round,498751,1164328,Complete,Integer,"",Data,Primary,Unisex,4,3,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,397,Number of rows displayed in round,498751,1131630,Complete,Integer,"",Data,Primary,Unisex,4,2,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,398,Number of correct matches in round,498751,1164328,Complete,Integer,"",Data,Primary,Unisex,4,3,,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,399,Number of incorrect matches in round,498751,1164328,Complete,Integer,"",Data,Primary,Unisex,4,3,,A value of 0 indicates the participant made no mistakes.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399
UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,400,Time to complete round,498751,1164328,Complete,Integer,deciseconds,Data,Primary,Unisex,4,3,402,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,401,Index for card A in round,496614,6763056,Complete,Categorical single,"",Data,Primary,Unisex,4,12,92,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,402,Index for card B in round,496614,6763056,Complete,Categorical single,"",Data,Primary,Unisex,4,12,92,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,403,Number of times snap-button pressed,496614,6763056,Complete,Integer,"",Data,Primary,Unisex,4,12,,This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403
UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,404,Duration to first press of snap-button in each round,494253,3396561,Complete,Integer,milliseconds,Data,Primary,Unisex,4,12,,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404
UK Biobank Assessment Centre > Procedural metrics > Process durations,152,630,Touchscreen duration,501670,572296,Complete,Integer,deciseconds,Data,Auxiliary,Unisex,4,1,,"",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=630
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,670,Type of accommodation lived in,501660,572286,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100286,"ACE touchscreen question ""What type of accommodation do you live in?"" If the participant activated the Help button they were shown the message:     Please select:  A house or bungalow for any whole, detached, semi-detached or terraced (including end-terrace) house or bungalow.  A flat, maisonette, or apartment for any purpose-built block of flats or tenement, part of a converted or shared house (including bed-sits) or within a commercial building (for example in an office building, or hotel, or over a shop).  If none of the options apply, select None of the above.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=670
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,680,Own or rent accommodation lived in,500281,570804,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100287,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=680
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,699,Length of time at current address,501656,572282,Complete,Integer,years,Data,Primary,Unisex,4,1,100290,"ACE touchscreen question ""How many years have you lived at your current address?"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=699
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,709,Number in household,500277,570800,Complete,Integer,people,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)"" The following checks were performed:  If answer   If answer > 100 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots.      ~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=709
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,728,Number of vehicles in household,500277,570800,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100293,"ACE touchscreen question ""How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) "" If the participant activated the Help button they were shown the message:     Do not include motorcycles.      ~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=728
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,738,Average total household income before tax,497405,567047,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100294,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?"" If the participant activated the Help button they were shown the message:     If you are unsure of annual household income here are the weekly and monthly equivalents:  Annual    Monthly   Weekly  less than &pound;18,000  less than &pound;1,500  less than &pound;346 &pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576 &pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999 &pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923 greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923       ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=738
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,757,Time employed in main current job,288413,314653,Complete,Integer,years,Data,Primary,Unisex,4,1,100290,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > Participants age - 16 years then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job.  For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner.      ~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=757
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,767,Length of working week for main job,288414,314655,Complete,Integer,hours,Data,Primary,Unisex,4,1,100291,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,777,Frequency of travelling from home to job workplace,286437,312320,Complete,Integer,times,Data,Primary,Unisex,4,1,100298,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)"" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0       ~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=777
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,796,Distance between home and job workplace,267669,290328,Complete,Integer,miles,Data,Primary,Unisex,4,1,100300,"ACE touchscreen question ""About how many miles is it between your home and your work? "" The following checks were performed:  If answer   If answer > 9999 then rejected  If answer > 70 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. If you are unsure, please provide an estimate or select Do not know. If you only work from home please enter 0      ~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=796
UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,806,Job involves mainly walking or standing,288414,314655,Complete,Categorical single,"",Data,Primary,Unisex,4,1,100301,"ACE touchscreen question ""Does your work involve walking or standing for most of the time?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question your MAIN job only.      ~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=806
